Net generation for all sectors per State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States : all fuels (utility-scale),3736644,3858452,3883185,3970555,4055423,4064702,4156745,4119388,3950331,4125060,4100141,4047765,4065964,4093564,4078714,4077574,4035443,4180988,4130574,4009767,4108303
United States : nuclear,768826,780064,763733,788528,781986,787219,806425,806208,798855,806968,790204,769331,789016,797166,797178,805694,804950,807084,809409,789879,778188
Connecticut,,,,,,,,,,,,,,,,,,,,,
Connecticut : all fuels (utility-scale),30491,31311,29545,32633,33550,34682,33171,30409,31206,33350,33745,36118,35611,33677,37471,36497,34563,39454,40050,41191,44080
Connecticut : nuclear,15428,14918,16078,16539,15562,16589,16386,15433,16657,16750,15928,17078,17080,15841,17411,16575,16500,16881,16733,15715,17217
Maine,,,,,,,,,,,,,,,,,,,,,
Maine : all fuels (utility-scale),19565,22535,18972,19099,18844,16816,16129,17095,16350,17019,15974,15048,14030,13249,11741,11514,11264,11281,10491,10002,10908
Maine : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts,,,,,,,,,,,,,,,,,,,,,
Massachusetts : all fuels (utility-scale),38478,42028,48385,47500,47515,45598,47076,42505,38967,42805,38055,35578,32885,31119,32086,31955,32204,27173,21516,18214,19477
Massachusetts : nuclear,5144,5769,4978,5939,5475,5830,5120,5869,5396,5918,5085,5860,4331,5769,4995,5414,5047,4442,2177,--,--
New Hampshire,,,,,,,,,,,,,,,,,,,,,
New Hampshire : all fuels (utility-scale),15075,15953,21597,23876,24470,22064,23277,22877,20164,22196,20066,19222,19779,19538,20016,19282,17447,17087,18027,16351,17193
New Hampshire : nuclear,8693,9295,9276,10178,9456,9398,10764,9350,8817,10910,8363,8189,10927,10168,9484,10761,9991,10062,10907,9865,9856
Rhode Island,,,,,,,,,,,,,,,,,,,,,
Rhode Island : all fuels (utility-scale),7502,7057,5621,4939,6053,5968,7050,7387,7697,7739,8722,8309,6247,6282,6939,6565,7615,8375,7624,8895,9322
Rhode Island : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont,,,,,,,,,,,,,,,,,,,,,
Vermont : all fuels (utility-scale),5481,5456,6028,5470,5717,7084,5824,6820,7282,6620,6776,6612,6885,7031,1982,1911,2141,2179,2290,2156,2108
Vermont : nuclear,4171,3963,4444,3858,4072,5107,4704,4895,5361,4782,4907,4989,4846,5061,--,--,--,--,--,--,--
New Jersey,,,,,,,,,,,,,,,,,,,,,
New Jersey : all fuels (utility-scale),59421,61569,57399,55882,60550,60700,62671,63675,61811,65682,64694,65263,64751,68051,74609,77611,75645,75034,71019,61106,61434
New Jersey : nuclear,30469,30866,29709,27082,31392,32568,32010,32195,34328,32771,33606,33110,33380,31507,33262,29885,34033,31982,26637,26738,28142
New York,,,,,,,,,,,,,,,,,,,,,
New York : all fuels (utility-scale),143915,139592,137643,137965,146887,142265,145879,140322,133151,136962,137480,135768,136117,137077,138582,134377,128025,132521,131603,129430,124945
New York : nuclear,40395,39617,40679,40640,42443,42224,42453,43209,43485,41870,42695,40775,44756,43039,44603,41571,42167,42919,44865,38430,31177
Pennsylvania,,,,,,,,,,,,,,,,,,,,,
Pennsylvania : all fuels (utility-scale),196577,204323,206350,214659,218091,218812,226088,222351,219496,229752,227315,223420,226786,221035,214545,215042,213591,215386,228995,230143,241331
Pennsylvania : nuclear,73731,76089,74361,77459,76289,75298,77376,78658,77328,77828,76147,75174,78714,78715,80517,82924,83200,83477,83230,76521,75903
Illinois,,,,,,,,,,,,,,,,,,,,,
Illinois : all fuels (utility-scale),179249,188054,189055,191958,194120,192427,200261,199475,193864,201352,199500,197565,203005,202144,193952,187289,183592,188003,184470,173395,181524
